start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
377.0,6 Ave & Canal St,40.72243797,-74.00566443,2900.0,6.33,377,40.72243797,-74.00566443,2731,3.55
441.0,E 52 St & 2 Ave,40.756014,-73.967416,2900.0,6.33,441,40.756014,-73.967416,2266,2.95
480.0,W 53 St & 10 Ave,40.76669671,-73.99061728,2865.0,6.26,480,40.76669671,-73.99061728,2581,3.36
3140.0,1 Ave & E 78 St,40.77140426,-73.9535166,2859.0,6.24,3140,40.77140426,-73.9535166,2274,2.96
267.0,Broadway & W 36 St,40.75097711,-73.98765428,2834.0,6.19,267,40.75097711,-73.98765428,2447,3.18
2010.0,Grand St & Greene St,40.72165481,-74.00234737,2831.0,6.18,2010,40.72165481,-74.00234737,2519,3.28
539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2816.0,6.15,539,40.71534825,-73.96024116,2666,3.47
319.0,Fulton St & Broadway,40.711065999999995,-74.009447,2814.0,6.14,319,40.711065999999995,-74.009447,2462,3.2
72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,2797.0,6.11,72,40.76727216,-73.99392888,2416,3.14
195.0,Liberty St & Broadway,40.70905623,-74.01043382,2790.0,6.09,195,40.70905623,-74.01043382,2512,3.27
470.0,W 20 St & 8 Ave,40.74345335,-74.00004031,2771.0,6.05,470,40.74345335,-74.00004031,2596,3.38
525.0,W 34 St & 11 Ave,40.75594159,-74.0021163,2762.0,6.03,525,40.75594159,-74.0021163,2518,3.27
363.0,West Thames St,40.70834698,-74.01713445,2732.0,5.97,363,40.70834698,-74.01713445,2544,3.31
394.0,E 9 St & Avenue C,40.72521311,-73.97768752,2728.0,5.96,394,40.72521311,-73.97768752,2400,3.12
508.0,W 46 St & 11 Ave,40.76341379,-73.99667444,2717.0,5.93,508,40.76341379,-73.99667444,2328,3.03
3259.0,9 Ave & W 28 St,40.74937024,-73.99923384,2713.0,5.92,3259,40.74937024,-73.99923384,2417,3.14
252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,2683.0,5.86,252,40.73226398,-73.99852205,2556,3.32
